k,S1,S2,r_LILA,r_WCA02,r_WCA03
0.01,0.93765,0.93765,-7.785256193752994,-8.027656528193052,-8.645975917794203
0.015,0.93765,0.93765,-4.713569616025322,-4.916848348324914,-5.619128865779901
0.02,0.93765,0.93765,-3.3639145521035907,-3.517823302830082,-4.1342548347077255
0.025,0.93765,0.93765,-2.3359561446156616,-2.487165686508297,-3.1005507650015436
0.03,0.93765,0.93765,-1.5413899996439582,-1.7100207216568348,-2.371169758945268
0.035,0.93765,0.93765,-0.9474058019587236,-1.1270596528378212,-1.8628075281920802
0.04,0.93765,0.93765,-0.37962727520075773,-0.5730647696713972,-1.4163400284102647
0.045000000000000005,0.93765,0.93765,0.1724024175441704,-0.05873860999242529,-1.0362570156682016
0.05,0.93765,0.93765,0.6970332919923568,0.41278039992729787,-0.7146424171235853
0.055,0.93765,0.93765,1.2667259712970689,0.9217499374112108,-0.37796223448012645
0.060000000000000005,0.93765,0.93765,1.7546331555964068,1.3555512587632097,-0.1098004139703402
0.065,0.93765,0.93765,2.117952119531683,1.6809467802422602,0.07837276843343607
0.06999999999999999,0.93765,0.93765,2.6180616773952226,2.148870992365301,0.3843122683319425
0.075,0.93765,0.93765,2.9747138869987655,2.48859045030474,0.5979487411886116
0.08,0.93765,0.93765,3.3398930347855864,2.837699229841599,0.8228613865935256
0.08499999999999999,0.93765,0.93765,3.709476958102266,3.1857364518745492,1.05024600720409
0.09,0.93765,0.93765,4.096672366492577,3.543109217446643,1.2862366566187977
0.01,0.8883,0.93765,-11.840297789023678,-12.082698123463734,-12.701017513064887
0.015,0.8883,0.93765,-7.417855154469384,-7.621270857884866,-8.324050787254915
0.02,0.8883,0.93765,-5.439761708897087,-5.607395999593412,-6.253314277120424
0.025,0.8883,0.93765,-4.2186478050769525,-4.3826416443837095,-5.020318839034932
0.03,0.8883,0.93765,-3.313503788019329,-3.481228008494499,-4.129282116764546
0.035,0.8883,0.93765,-2.5872720931273703,-2.7612823144411935,-3.4434103267923684
0.04,0.8883,0.93765,-1.927765447570156,-2.1121554433976857,-2.8527828425461386
0.045000000000000005,0.8883,0.93765,-1.3548534435675437,-1.56197611091848,-2.3820148865049213
0.05,0.8883,0.93765,-0.8868657061870074,-1.1258810484337662,-2.0375754605564103
0.055,0.8883,0.93765,-0.2673963430340691,-0.5501397428586368,-1.5927573223740623
0.060000000000000005,0.8883,0.93765,0.2037841905919841,-0.12105431886658703,-1.289289452672527
