k,S1,S2,lambda,rs,Sint,increase
0.01,0.987,0.987,0.5055416774808222,-0.6821247958869848,0.974169,0
0.015,0.987,0.987,0.960797154685403,-0.03999196962228543,0.974169,0
0.02,0.987,0.987,1.5169934874153836,0.4167304072888765,0.974169,1
0.025,0.987,0.987,2.677418004580476,0.9848528989980082,0.974169,1
0.03,0.987,0.987,4.011573419207343,1.3891835382271502,0.974169,1
0.035,0.987,0.987,5.2478777698079755,1.6578237605565236,0.974169,1
0.04,0.987,0.987,7.028213629494187,1.9499325667743974,0.974169,1
0.045000000000000005,0.987,0.987,9.740275290254905,2.276269381141568,0.974169,1
0.05,0.987,0.987,13.648874662233014,2.6136570759051616,0.974169,1
0.055,0.987,0.987,19.18618359851173,2.954190415750143,0.974169,1
0.060000000000000005,0.987,0.987,26.68900009687904,3.284251499128257,0.974169,1
0.065,0.987,0.987,35.7714587532329,3.5771503339108106,0.974169,1
0.06999999999999999,0.987,0.987,46.186185135841015,3.832680730337647,0.974169,1
0.075,0.987,0.987,58.863585892756696,4.075222663354605,0.974169,1
0.08,0.987,0.987,75.05578930119039,4.318231694360759,0.974169,1
0.08499999999999999,0.987,0.987,95.78967223979708,4.562154873735299,0.974169,1
0.09,0.987,0.987,123.34806777973753,4.815010178318728,0.974169,1
0.01,0.93765,0.987,0.02329020346106803,-3.759722459140017,0.9254605499999999,0
0.015,0.93765,0.987,0.12176929517329507,-2.105627047660189,0.9254605499999999,0
0.02,0.93765,0.987,0.2388716283079537,-1.431828991401677,0.9254605499999999,0
0.025,0.93765,0.987,0.4227589217599995,-0.8609531873220566,0.9254605499999999,0
0.03,0.93765,0.987,0.7216651585590549,-0.326194016972346,0.9254605499999999,0
0.035,0.93765,0.987,1.121253566795126,0.1144473154739929,0.9254605499999999,1
0.04,0.93765,0.987,1.667489757654372,0.5113193564525688,0.9254605499999999,1
0.045000000000000005,0.93765,0.987,2.3854126144620666,0.8693721133441675,0.9254605499999999,1
0.05,0.93765,0.987,3.2292271689593544,1.1722428420297,0.9254605499999999,1
0.055,0.93765,0.987,4.874454244705042,1.5840081483788695,0.9254605499999999,1
0.060000000000000005,0.93765,0.987,6.822785276198435,1.9202677867530613,0.9254605499999999,1
0.065,0.93765,0.987,9.505703309545895,2.2518919668427557,0.9254605499999999,1
0.06999999999999999,0.93765,0.987,13.047759840021335,2.568616459264998,0.9254605499999999,1
0.075,0.93765,0.987,15.77558101108715,2.75846323887975,0.9254605499999999,1
0.08,0.93765,0.987,21.668177881582515,3.0758447271759537,0.9254605499999999,1
0.08499999999999999,0.93765,0.987,29.985695056035762,3.400720436476406,0.9254605499999999,1
0.09,0.93765,0.987,36.493982542828725,3.59714738515693,0.9254605499999999,1
0.01,0.8883,0.987,9.084636014690568e-4,-7.003755735356563,0.8767520999999999,0
0.015,0.8883,0.987,0.01398982028620512,-4.269425336262516,0.8767520999999999,0
0.02,0.8883,0.987,0.045109595475748346,-3.098660295109282,0.8767520999999999,0
0.025,0.8883,0.987,0.09077960026209465,-2.3993206853332563,0.8767520999999999,0
0.03,0.8883,0.987,0.16393661727780037,-1.8082754058739994,0.8767520999999999,0
0.035,0.8883,0.987,0.28065384281244354,-1.2706332451437778,0.8767520999999999,0
