k,S1,S2,S3,ST1,ST2,ST3,lambda,FST1,FST2,FST3,increase,Sinteract
0.005,0.8,0.9,1,0.7896,0.8883,0.987,0,0.7896,0.8883,0.987,0,0.692283458
0.005,0.8,0.9,0.7,0.7896,0.8883,0.6909,0,0.7896,0.8883,0.6909,0,0.484598421
0.005,0.8,0.9,0.6,0.7896,0.8883,0.5922,0,0.7896,0.8883,0.5922,0,0.415370075
0.005,0.8,0.7,1,0.7896,0.6909,0.987,0,0.7896,0.6909,0.987,0,0.53844269
0.005,0.8,0.7,0.9,0.7896,0.6909,0.8883,0,0.7896,0.6909,0.8883,0,0.484598421
0.005,0.8,0.7,0.6,0.7896,0.6909,0.5922,0,0.7896,0.6909,0.5922,0,0.323065614
0.005,0.8,0.6,1,0.7896,0.5922,0.987,0,0.7896,0.5922,0.987,0,0.461522305
0.005,0.8,0.6,0.9,0.7896,0.5922,0.8883,0,0.7896,0.5922,0.8883,0,0.415370075
0.005,0.8,0.6,0.7,0.7896,0.5922,0.6909,0,0.7896,0.5922,0.6909,0,0.323065614
0.005,0.7,1,0.9,0.6909,0.987,0.8883,0,0.6909,0.987,0.8883,0,0.605748026
0.005,0.7,1,0.8,0.6909,0.987,0.7896,0,0.6909,0.987,0.7896,0,0.53844269
0.005,0.7,1,0.6,0.6909,0.987,0.5922,0,0.6909,0.987,0.5922,0,0.403832017
0.005,0.7,0.9,1,0.6909,0.8883,0.987,0,0.6909,0.8883,0.987,0,0.605748026
0.005,0.7,0.9,0.8,0.6909,0.8883,0.7896,0,0.6909,0.8883,0.7896,0,0.484598421
0.005,0.7,0.9,0.6,0.6909,0.8883,0.5922,0,0.6909,0.8883,0.5922,0,0.363448816
0.005,0.7,0.8,1,0.6909,0.7896,0.987,0,0.6909,0.7896,0.987,0,0.53844269
0.005,0.7,0.8,0.9,0.6909,0.7896,0.8883,0,0.6909,0.7896,0.8883,0,0.484598421
0.005,0.7,0.8,0.6,0.6909,0.7896,0.5922,0,0.6909,0.7896,0.5922,0,0.323065614
0.005,0.7,0.6,1,0.6909,0.5922,0.987,0,0.6909,0.5922,0.987,0,0.403832017
0.005,0.7,0.6,0.9,0.6909,0.5922,0.8883,0,0.6909,0.5922,0.8883,0,0.363448816
0.005,0.7,0.6,0.8,0.6909,0.5922,0.7896,0,0.6909,0.5922,0.7896,0,0.323065614
0.005,0.6,1,0.9,0.5922,0.987,0.8883,0,0.5922,0.987,0.8883,0,0.519212594
0.005,0.6,1,0.8,0.5922,0.987,0.7896,0,0.5922,0.987,0.7896,0,0.461522305
0.005,0.6,1,0.7,0.5922,0.987,0.6909,0,0.5922,0.987,0.6909,0,0.403832017
0.005,0.6,0.9,1,0.5922,0.8883,0.987,0,0.5922,0.8883,0.987,0,0.519212594
0.005,0.6,0.9,0.8,0.5922,0.8883,0.7896,0,0.5922,0.8883,0.7896,0,0.415370075
0.005,0.6,0.9,0.7,0.5922,0.8883,0.6909,0,0.5922,0.8883,0.6909,0,0.363448816
0.005,0.6,0.8,1,0.5922,0.7896,0.987,0,0.5922,0.7896,0.987,0,0.461522305
0.005,0.6,0.8,0.9,0.5922,0.7896,0.8883,0,0.5922,0.7896,0.8883,0,0.415370075
0.005,0.6,0.8,0.7,0.5922,0.7896,0.6909,0,0.5922,0.7896,0.6909,0,0.323065614
0.005,0.6,0.7,1,0.5922,0.6909,0.987,0,0.5922,0.6909,0.987,0,0.403832017
0.005,0.6,0.7,0.9,0.5922,0.6909,0.8883,0,0.5922,0.6909,0.8883,0,0.363448816
0.005,0.6,0.7,0.8,0.5922,0.6909,0.7896,0,0.5922,0.6909,0.7896,0,0.323065614
0.01,1,1,1,0.987,0.987,0.987,0.697148373,0.987,0.987,0.987,0,0.961504803
