k,S1,S2,S3,ST1,ST2,ST3,lambda,FST1,FST2,FST3,increase,Sinteract
0.03,1,0.9,0.6,0.987,0.8883,0.5922,2.04E-05,0.987,0.8883,0.5922,0,0.519212594
0.03,1,0.8,0.9,0.987,0.7896,0.8883,0.003642699,0.987,0.7896,0.8883,0,0.692283458
0.03,1,0.8,0.7,0.987,0.7896,0.6909,4.14E-05,0.987,0.7896,0.6909,0,0.53844269
0.03,1,0.8,0.6,0.987,0.7896,0.5922,2.67E-06,0.987,0.7896,0.5922,0,0.461522305
0.03,1,0.7,0.9,0.987,0.6909,0.8883,3.69E-04,0.987,0.6909,0.8883,0,0.605748026
0.03,1,0.7,0.8,0.987,0.6909,0.7896,4.53E-05,0.987,0.6909,0.7896,0,0.53844269
0.03,1,0.7,0.6,0.987,0.6909,0.5922,2.72E-07,0.987,0.6909,0.5922,0,0.403832017
0.03,1,0.6,0.9,0.987,0.5922,0.8883,2.68E-05,0.987,0.5922,0.8883,0,0.519212594
0.03,1,0.6,0.8,0.987,0.5922,0.7896,3.29E-06,0.987,0.5922,0.7896,0,0.461522305
0.03,1,0.6,0.7,0.987,0.5922,0.6909,3.06E-07,0.987,0.5922,0.6909,0,0.403832017
0.03,0.9,1,0.8,0.8883,0.987,0.7896,0.001941391,0.8883,0.987,0.7896,0,0.692283458
0.03,0.9,1,0.7,0.8883,0.987,0.6909,1.79E-04,0.8883,0.987,0.6909,0,0.605748026
0.03,0.9,1,0.6,0.8883,0.987,0.5922,1.15E-05,0.8883,0.987,0.5922,0,0.519212594
0.03,0.9,0.8,1,0.8883,0.7896,0.987,0.002161961,0.8883,0.7896,0.987,0,0.692283458
0.03,0.9,0.8,0.7,0.8883,0.7896,0.6909,3.73E-06,0.8883,0.7896,0.6909,0,0.484598421
0.03,0.9,0.8,0.6,0.8883,0.7896,0.5922,2.40E-07,0.8883,0.7896,0.5922,0,0.415370075
0.03,0.9,0.7,1,0.8883,0.6909,0.987,2.21E-04,0.8883,0.6909,0.987,0,0.605748026
0.03,0.9,0.7,0.8,0.8883,0.6909,0.7896,4.13E-06,0.8883,0.6909,0.7896,0,0.484598421
0.03,0.9,0.7,0.6,0.8883,0.6909,0.5922,2.47E-08,0.8883,0.6909,0.5922,0,0.363448816
0.03,0.9,0.6,1,0.8883,0.5922,0.987,1.61E-05,0.8883,0.5922,0.987,0,0.519212594
0.03,0.9,0.6,0.8,0.8883,0.5922,0.7896,3.02E-07,0.8883,0.5922,0.7896,0,0.415370075
0.03,0.9,0.6,0.7,0.8883,0.5922,0.6909,2.80E-08,0.8883,0.5922,0.6909,0,0.363448816
0.03,0.8,1,0.9,0.7896,0.987,0.8883,0.001077501,0.7896,0.987,0.8883,0,0.692283458
0.03,0.8,1,0.7,0.7896,0.987,0.6909,1.20E-05,0.7896,0.987,0.6909,0,0.53844269
0.03,0.8,1,0.6,0.7896,0.987,0.5922,7.73E-07,0.7896,0.987,0.5922,0,0.461522305
0.03,0.8,0.9,1,0.7896,0.8883,0.987,0.001145941,0.7896,0.8883,0.987,0,0.692283458
0.03,0.8,0.9,0.7,0.7896,0.8883,0.6909,1.94E-06,0.7896,0.8883,0.6909,0,0.484598421
0.03,0.8,0.9,0.6,0.7896,0.8883,0.5922,1.24E-07,0.7896,0.8883,0.5922,0,0.415370075
0.03,0.8,0.7,1,0.7896,0.6909,0.987,1.57E-05,0.7896,0.6909,0.987,0,0.53844269
0.03,0.8,0.7,0.9,0.7896,0.6909,0.8883,2.38E-06,0.7896,0.6909,0.8883,0,0.484598421
0.03,0.8,0.7,0.6,0.7896,0.6909,0.5922,1.72E-09,0.7896,0.6909,0.5922,0,0.323065614
0.03,0.8,0.6,1,0.7896,0.5922,0.987,1.15E-06,0.7896,0.5922,0.987,0,0.461522305
0.03,0.8,0.6,0.9,0.7896,0.5922,0.8883,1.75E-07,0.7896,0.5922,0.8883,0,0.415370075
0.03,0.8,0.6,0.7,0.7896,0.5922,0.6909,1.97E-09,0.7896,0.5922,0.6909,0,0.323065614
0.03,0.7,1,0.9,0.6909,0.987,0.8883,5.23E-05,0.6909,0.987,0.8883,0,0.605748026
0.03,0.7,1,0.8,0.6909,0.987,0.7896,6.32E-06,0.6909,0.987,0.7896,0,0.53844269
0.03,0.7,1,0.6,0.6909,0.987,0.5922,3.71E-08,0.6909,0.987,0.5922,0,0.403832017
0.03,0.7,0.9,1,0.6909,0.8883,0.987,5.74E-05,0.6909,0.8883,0.987,0,0.605748026
0.03,0.7,0.9,0.8,0.6909,0.8883,0.7896,1.04E-06,0.6909,0.8883,0.7896,0,0.484598421
0.03,0.7,0.9,0.6,0.6909,0.8883,0.5922,6.10E-09,0.6909,0.8883,0.5922,0,0.363448816
0.03,0.7,0.8,1,0.6909,0.7896,0.987,7.76E-06,0.6909,0.7896,0.987,0,0.53844269
0.03,0.7,0.8,0.9,0.6909,0.7896,0.8883,1.17E-06,0.6909,0.7896,0.8883,0,0.484598421
0.03,0.7,0.8,0.6,0.6909,0.7896,0.5922,8.25E-10,0.6909,0.7896,0.5922,0,0.323065614
0.03,0.7,0.6,1,0.6909,0.5922,0.987,5.95E-08,0.6909,0.5922,0.987,0,0.403832017
0.03,0.7,0.6,0.9,0.6909,0.5922,0.8883,8.96E-09,0.6909,0.5922,0.8883,0,0.363448816
0.03,0.7,0.6,0.8,0.6909,0.5922,0.7896,1.08E-09,0.6909,0.5922,0.7896,0,0.323065614
0.03,0.6,1,0.9,0.5922,0.987,0.8883,1.69E-06,0.5922,0.987,0.8883,0,0.519212594
0.03,0.6,1,0.8,0.5922,0.987,0.7896,2.03E-07,0.5922,0.987,0.7896,0,0.461522305
0.03,0.6,1,0.7,0.5922,0.987,0.6909,1.85E-08,0.5922,0.987,0.6909,0,0.403832017
0.03,0.6,0.9,1,0.5922,0.8883,0.987,1.89E-06,0.5922,0.8883,0.987,0,0.519212594
0.03,0.6,0.9,0.8,0.5922,0.8883,0.7896,3.40E-08,0.5922,0.8883,0.7896,0,0.415370075
0.03,0.6,0.9,0.7,0.5922,0.8883,0.6909,3.09E-09,0.5922,0.8883,0.6909,0,0.363448816
0.03,0.6,0.8,1,0.5922,0.7896,0.987,2.57E-07,0.5922,0.7896,0.987,0,0.461522305
0.03,0.6,0.8,0.9,0.5922,0.7896,0.8883,3.85E-08,0.5922,0.7896,0.8883,0,0.415370075
0.03,0.6,0.8,0.7,0.5922,0.7896,0.6909,4.20E-10,0.5922,0.7896,0.6909,0,0.323065614
0.03,0.6,0.7,1,0.5922,0.6909,0.987,2.68E-08,0.5922,0.6909,0.987,0,0.403832017
0.03,0.6,0.7,0.9,0.5922,0.6909,0.8883,4.02E-09,0.5922,0.6909,0.8883,0,0.363448816
0.03,0.6,0.7,0.8,0.5922,0.6909,0.7896,4.82E-10,0.5922,0.6909,0.7896,0,0.323065614
0.035,1,1,1,0.987,0.987,0.987,13.01367778,0.987,0.987,0.987,1,0.961504803
0.035,0.9,1,1,0.8883,0.987,0.987,0.3153607,0.8883,0.987,0.987,0,0.865354323
0.035,0.8,1,1,0.7896,0.987,0.987,0.018375163,0.7896,0.987,0.987,0,0.769203842
0.035,0.7,1,1,0.6909,0.987,0.987,0.001302868,0.6909,0.987,0.987,0,0.673053362
0.035,0.6,1,1,0.5922,0.987,0.987,6.81E-05,0.5922,0.987,0.987,0,0.576902882
0.035,1,0.9,1,0.987,0.8883,0.987,0.50608145,0.987,0.8883,0.987,0,0.865354323
0.035,1,0.8,1,0.987,0.7896,0.987,0.039856428,0.987,0.7896,0.987,0,0.769203842
0.035,1,0.7,1,0.987,0.6909,0.987,0.004415745,0.987,0.6909,0.987,0,0.673053362
0.035,1,0.6,1,0.987,0.5922,0.987,4.11E-04,0.987,0.5922,0.987,0,0.576902882
0.035,1,1,0.9,0.987,0.987,0.8883,0.532296932,0.987,0.987,0.8883,0,0.865354323
0.035,1,1,0.8,0.987,0.987,0.7896,0.044597764,0.987,0.987,0.7896,0,0.769203842
0.035,1,1,0.7,0.987,0.987,0.6909,0.005091287,0.987,0.987,0.6909,0,0.673053362
0.035,1,1,0.6,0.987,0.987,0.5922,4.78E-04,0.987,0.987,0.5922,0,0.576902882
0.035,0.9,0.9,0.9,0.8883,0.8883,0.8883,0.005872922,0.8883,0.8883,0.8883,0,0.700937001
0.035,1,0.9,0.9,0.987,0.8883,0.8883,0.05203806,0.987,0.8883,0.8883,0,0.77881889
0.035,0.8,0.9,0.9,0.7896,0.8883,0.8883,6.04E-04,0.7896,0.8883,0.8883,0,0.623055112
0.035,0.7,0.9,0.9,0.6909,0.8883,0.8883,4.78E-05,0.6909,0.8883,0.8883,0,0.545173223
0.035,0.6,0.9,0.9,0.5922,0.8883,0.8883,2.64E-06,0.5922,0.8883,0.8883,0,0.467291334
0.035,0.9,1,0.9,0.8883,0.987,0.8883,0.035538471,0.8883,0.987,0.8883,0,0.77881889
0.035,0.9,0.8,0.9,0.8883,0.7896,0.8883,9.15E-04,0.8883,0.7896,0.8883,0,0.623055112
0.035,0.9,0.7,0.9,0.8883,0.6909,0.8883,1.17E-04,0.8883,0.6909,0.8883,0,0.545173223
0.035,0.9,0.6,0.9,0.8883,0.5922,0.8883,1.11E-05,0.8883,0.5922,0.8883,0,0.467291334
0.035,0.9,0.9,1,0.8883,0.8883,0.987,0.033898763,0.8883,0.8883,0.987,0,0.77881889
0.035,0.9,0.9,0.8,0.8883,0.8883,0.7896,9.48E-04,0.8883,0.8883,0.7896,0,0.623055112
0.035,0.9,0.9,0.7,0.8883,0.8883,0.6909,1.23E-04,0.8883,0.8883,0.6909,0,0.545173223
0.035,0.9,0.9,0.6,0.8883,0.8883,0.5922,1.18E-05,0.8883,0.8883,0.5922,0,0.467291334
0.035,0.8,0.8,0.8,0.7896,0.7896,0.7896,1.62E-05,0.7896,0.7896,0.7896,0,0.492290459
0.035,1,0.8,0.8,0.987,0.7896,0.7896,0.001140417,0.987,0.7896,0.7896,0,0.615363074
0.035,0.9,0.8,0.8,0.8883,0.7896,0.7896,1.51E-04,0.8883,0.7896,0.7896,0,0.553826767
0.035,0.7,0.8,0.8,0.6909,0.7896,0.7896,1.30E-06,0.6909,0.7896,0.7896,0,0.430754152
0.035,0.6,0.8,0.8,0.5922,0.7896,0.7896,7.28E-08,0.5922,0.7896,0.7896,0,0.369217844
0.035,0.8,1,0.8,0.7896,0.987,0.7896,5.23E-04,0.7896,0.987,0.7896,0,0.615363074
0.035,0.8,0.9,0.8,0.7896,0.8883,0.7896,9.95E-05,0.7896,0.8883,0.7896,0,0.553826767
0.035,0.8,0.7,0.8,0.7896,0.6909,0.7896,2.09E-06,0.7896,0.6909,0.7896,0,0.430754152
0.035,0.8,0.6,0.8,0.7896,0.5922,0.7896,1.99E-07,0.7896,0.5922,0.7896,0,0.369217844
0.035,0.8,0.8,1,0.7896,0.7896,0.987,4.88E-04,0.7896,0.7896,0.987,0,0.615363074
0.035,0.8,0.8,0.9,0.7896,0.7896,0.8883,9.73E-05,0.7896,0.7896,0.8883,0,0.553826767
0.035,0.8,0.8,0.7,0.7896,0.7896,0.6909,2.11E-06,0.7896,0.7896,0.6909,0,0.430754152
0.035,0.8,0.8,0.6,0.7896,0.7896,0.5922,2.02E-07,0.7896,0.7896,0.5922,0,0.369217844
0.035,0.7,0.7,0.7,0.6909,0.6909,0.6909,2.22E-08,0.6909,0.6909,0.6909,0,0.329796147
0.035,1,0.7,0.7,0.987,0.6909,0.6909,1.90E-05,0.987,0.6909,0.6909,0,0.471137353
0.035,0.9,0.7,0.7,0.8883,0.6909,0.6909,2.55E-06,0.8883,0.6909,0.6909,0,0.424023618
0.035,0.8,0.7,0.7,0.7896,0.6909,0.6909,2.74E-07,0.7896,0.6909,0.6909,0,0.376909883
0.035,0.6,0.7,0.7,0.5922,0.6909,0.6909,1.24E-09,0.5922,0.6909,0.6909,0,0.282682412
0.035,0.7,1,0.7,0.6909,0.987,0.6909,5.29E-06,0.6909,0.987,0.6909,0,0.471137353
0.035,0.7,0.9,0.7,0.6909,0.8883,0.6909,1.04E-06,0.6909,0.8883,0.6909,0,0.424023618
0.035,0.7,0.8,0.7,0.6909,0.7896,0.6909,1.71E-07,0.6909,0.7896,0.6909,0,0.376909883
0.035,0.7,0.6,0.7,0.6909,0.5922,0.6909,2.12E-09,0.6909,0.5922,0.6909,0,0.282682412
0.035,0.7,0.7,1,0.6909,0.6909,0.987,5.09E-06,0.6909,0.6909,0.987,0,0.471137353
0.035,0.7,0.7,0.9,0.6909,0.6909,0.8883,1.02E-06,0.6909,0.6909,0.8883,0,0.424023618
0.035,0.7,0.7,0.8,0.6909,0.6909,0.7896,1.70E-07,0.6909,0.6909,0.7896,0,0.376909883
0.035,0.7,0.7,0.6,0.6909,0.6909,0.5922,2.13E-09,0.6909,0.6909,0.5922,0,0.282682412
0.035,0.6,0.6,0.6,0.5922,0.5922,0.5922,1.14E-11,0.5922,0.5922,0.5922,0,0.207685037
0.035,1,0.6,0.6,0.987,0.5922,0.5922,1.72E-07,0.987,0.5922,0.5922,0,0.346141729
0.035,0.9,0.6,0.6,0.8883,0.5922,0.5922,2.31E-08,0.8883,0.5922,0.5922,0,0.311527556
0.035,0.8,0.6,0.6,0.7896,0.5922,0.5922,2.49E-09,0.7896,0.5922,0.5922,0,0.276913383
0.035,0.7,0.6,0.6,0.6909,0.5922,0.5922,2.03E-10,0.6909,0.5922,0.5922,0,0.24229921
0.035,0.6,1,0.6,0.5922,0.987,0.5922,2.75E-08,0.5922,0.987,0.5922,0,0.346141729
0.035,0.6,0.9,0.6,0.5922,0.8883,0.5922,5.48E-09,0.5922,0.8883,0.5922,0,0.311527556
0.035,0.6,0.8,0.6,0.5922,0.7896,0.5922,9.10E-10,0.5922,0.7896,0.5922,0,0.276913383
0.035,0.6,0.7,0.6,0.5922,0.6909,0.5922,1.19E-10,0.5922,0.6909,0.5922,0,0.24229921
0.035,0.6,0.6,1,0.5922,0.5922,0.987,2.72E-08,0.5922,0.5922,0.987,0,0.346141729
0.035,0.6,0.6,0.9,0.5922,0.5922,0.8883,5.46E-09,0.5922,0.5922,0.8883,0,0.311527556
0.035,0.6,0.6,0.8,0.5922,0.5922,0.7896,9.09E-10,0.5922,0.5922,0.7896,0,0.276913383
0.035,0.6,0.6,0.7,0.5922,0.5922,0.6909,1.19E-10,0.5922,0.5922,0.6909,0,0.24229921
0.035,1,0.9,0.8,0.987,0.8883,0.7896,0.0073503,0.987,0.8883,0.7896,0,0.692283458
0.035,1,0.9,0.7,0.987,0.8883,0.6909,9.38E-04,0.987,0.8883,0.6909,0,0.605748026
0.035,1,0.9,0.6,0.987,0.8883,0.5922,8.94E-05,0.987,0.8883,0.5922,0,0.519212594
0.035,1,0.8,0.9,0.987,0.7896,0.8883,0.007017796,0.987,0.7896,0.8883,0,0.692283458
0.035,1,0.8,0.7,0.987,0.7896,0.6909,1.49E-04,0.987,0.7896,0.6909,0,0.53844269
0.035,1,0.8,0.6,0.987,0.7896,0.5922,1.42E-05,0.987,0.7896,0.5922,0,0.461522305
0.035,1,0.7,0.9,0.987,0.6909,0.8883,8.75E-04,0.987,0.6909,0.8883,0,0.605748026
0.035,1,0.7,0.8,0.987,0.6909,0.7896,1.45E-04,0.987,0.6909,0.7896,0,0.53844269
0.035,1,0.7,0.6,0.987,0.6909,0.5922,1.82E-06,0.987,0.6909,0.5922,0,0.403832017
0.035,1,0.6,0.9,0.987,0.5922,0.8883,8.25E-05,0.987,0.5922,0.8883,0,0.519212594
0.035,1,0.6,0.8,0.987,0.5922,0.7896,1.37E-05,0.987,0.5922,0.7896,0,0.461522305
0.035,1,0.6,0.7,0.987,0.5922,0.6909,1.79E-06,0.987,0.5922,0.6909,0,0.403832017
0.035,0.9,1,0.8,0.8883,0.987,0.7896,0.005138476,0.8883,0.987,0.7896,0,0.692283458
0.035,0.9,1,0.7,0.8883,0.987,0.6909,6.56E-04,0.8883,0.987,0.6909,0,0.605748026
0.035,0.9,1,0.6,0.8883,0.987,0.5922,6.24E-05,0.8883,0.987,0.5922,0,0.519212594
0.035,0.9,0.8,1,0.8883,0.7896,0.987,0.004666091,0.8883,0.7896,0.987,0,0.692283458
0.035,0.9,0.8,0.7,0.8883,0.7896,0.6909,1.98E-05,0.8883,0.7896,0.6909,0,0.484598421
0.035,0.9,0.8,0.6,0.8883,0.7896,0.5922,1.89E-06,0.8883,0.7896,0.5922,0,0.415370075
0.035,0.9,0.7,1,0.8883,0.6909,0.987,5.85E-04,0.8883,0.6909,0.987,0,0.605748026
0.035,0.9,0.7,0.8,0.8883,0.6909,0.7896,1.95E-05,0.8883,0.6909,0.7896,0,0.484598421
0.035,0.9,0.7,0.6,0.8883,0.6909,0.5922,2.44E-07,0.8883,0.6909,0.5922,0,0.363448816
0.035,0.9,0.6,1,0.8883,0.5922,0.987,5.53E-05,0.8883,0.5922,0.987,0,0.519212594
0.035,0.9,0.6,0.8,0.8883,0.5922,0.7896,1.85E-06,0.8883,0.5922,0.7896,0,0.415370075
0.035,0.9,0.6,0.7,0.8883,0.5922,0.6909,2.42E-07,0.8883,0.5922,0.6909,0,0.363448816
0.035,0.8,1,0.9,0.7896,0.987,0.8883,0.003252466,0.7896,0.987,0.8883,0,0.692283458
0.035,0.8,1,0.7,0.7896,0.987,0.6909,6.79E-05,0.7896,0.987,0.6909,0,0.53844269
0.035,0.8,1,0.6,0.7896,0.987,0.5922,6.46E-06,0.7896,0.987,0.5922,0,0.461522305
0.035,0.8,0.9,1,0.7896,0.8883,0.987,0.003125053,0.7896,0.8883,0.987,0,0.692283458
0.035,0.8,0.9,0.7,0.7896,0.8883,0.6909,1.30E-05,0.7896,0.8883,0.6909,0,0.484598421
0.035,0.8,0.9,0.6,0.7896,0.8883,0.5922,1.24E-06,0.7896,0.8883,0.5922,0,0.415370075
0.035,0.8,0.7,1,0.7896,0.6909,0.987,6.27E-05,0.7896,0.6909,0.987,0,0.53844269
0.035,0.8,0.7,0.9,0.7896,0.6909,0.8883,1.26E-05,0.7896,0.6909,0.8883,0,0.484598421
0.035,0.8,0.7,0.6,0.7896,0.6909,0.5922,2.62E-08,0.7896,0.6909,0.5922,0,0.323065614
0.035,0.8,0.6,1,0.7896,0.5922,0.987,5.97E-06,0.7896,0.5922,0.987,0,0.461522305
0.035,0.8,0.6,0.9,0.7896,0.5922,0.8883,1.20E-06,0.7896,0.5922,0.8883,0,0.415370075
0.035,0.8,0.6,0.7,0.7896,0.5922,0.6909,2.61E-08,0.7896,0.5922,0.6909,0,0.323065614
0.035,0.7,1,0.9,0.6909,0.987,0.8883,2.48E-04,0.6909,0.987,0.8883,0,0.605748026
0.035,0.7,1,0.8,0.6909,0.987,0.7896,4.06E-05,0.6909,0.987,0.7896,0,0.53844269
0.035,0.7,1,0.6,0.6909,0.987,0.5922,5.05E-07,0.6909,0.987,0.5922,0,0.403832017
0.035,0.7,0.9,1,0.6909,0.8883,0.987,2.42E-04,0.6909,0.8883,0.987,0,0.605748026
0.035,0.7,0.9,0.8,0.6909,0.8883,0.7896,7.92E-06,0.6909,0.8883,0.7896,0,0.484598421
0.035,0.7,0.9,0.6,0.6909,0.8883,0.5922,9.89E-08,0.6909,0.8883,0.5922,0,0.363448816
0.035,0.7,0.8,1,0.6909,0.7896,0.987,3.91E-05,0.6909,0.7896,0.987,0,0.53844269
0.035,0.7,0.8,0.9,0.6909,0.7896,0.8883,7.84E-06,0.6909,0.7896,0.8883,0,0.484598421
0.035,0.7,0.8,0.6,0.6909,0.7896,0.5922,1.63E-08,0.6909,0.7896,0.5922,0,0.323065614
0.035,0.7,0.6,1,0.6909,0.5922,0.987,4.86E-07,0.6909,0.5922,0.987,0,0.403832017
0.035,0.7,0.6,0.9,0.6909,0.5922,0.8883,9.76E-08,0.6909,0.5922,0.8883,0,0.363448816
0.035,0.7,0.6,0.8,0.6909,0.5922,0.7896,1.62E-08,0.6909,0.5922,0.7896,0,0.323065614
0.035,0.6,1,0.9,0.5922,0.987,0.8883,1.33E-05,0.5922,0.987,0.8883,0,0.519212594
0.035,0.6,1,0.8,0.5922,0.987,0.7896,2.21E-06,0.5922,0.987,0.7896,0,0.461522305
0.035,0.6,1,0.7,0.5922,0.987,0.6909,2.88E-07,0.5922,0.987,0.6909,0,0.403832017
0.035,0.6,0.9,1,0.5922,0.8883,0.987,1.32E-05,0.5922,0.8883,0.987,0,0.519212594
0.035,0.6,0.9,0.8,0.5922,0.8883,0.7896,4.39E-07,0.5922,0.8883,0.7896,0,0.415370075
0.035,0.6,0.9,0.7,0.5922,0.8883,0.6909,5.74E-08,0.5922,0.8883,0.6909,0,0.363448816
0.035,0.6,0.8,1,0.5922,0.7896,0.987,2.18E-06,0.5922,0.7896,0.987,0,0.461522305
0.035,0.6,0.8,0.9,0.5922,0.7896,0.8883,4.38E-07,0.5922,0.7896,0.8883,0,0.415370075
0.035,0.6,0.8,0.7,0.5922,0.7896,0.6909,9.52E-09,0.5922,0.7896,0.6909,0,0.323065614
0.035,0.6,0.7,1,0.5922,0.6909,0.987,2.85E-07,0.5922,0.6909,0.987,0,0.403832017
0.035,0.6,0.7,0.9,0.5922,0.6909,0.8883,5.72E-08,0.5922,0.6909,0.8883,0,0.363448816
0.035,0.6,0.7,0.8,0.5922,0.6909,0.7896,9.51E-09,0.5922,0.6909,0.7896,0,0.323065614
0.04,1,1,1,0.987,0.987,0.987,21.83007017,0.987,0.987,0.987,1,0.961504803
0.04,0.9,1,1,0.8883,0.987,0.987,0.594862216,0.8883,0.987,0.987,0,0.865354323
0.04,0.8,1,1,0.7896,0.987,0.987,0.03828705,0.7896,0.987,0.987,0,0.769203842
0.04,0.7,1,1,0.6909,0.987,0.987,0.003576666,0.6909,0.987,0.987,0,0.673053362
0.04,0.6,1,1,0.5922,0.987,0.987,2.75E-04,0.5922,0.987,0.987,0,0.576902882
0.04,1,0.9,1,0.987,0.8883,0.987,0.84813981,0.987,0.8883,0.987,0,0.865354323
0.04,1,0.8,1,0.987,0.7896,0.987,0.066476386,0.987,0.7896,0.987,0,0.769203842
0.04,1,0.7,1,0.987,0.6909,0.987,0.008246398,0.987,0.6909,0.987,0,0.673053362
0.04,1,0.6,1,0.987,0.5922,0.987,9.73E-04,0.987,0.5922,0.987,0,0.576902882
0.04,1,1,0.9,0.987,0.987,0.8883,1.042579702,0.987,0.987,0.8883,1,0.865354323
0.04,1,1,0.8,0.987,0.987,0.7896,0.093569328,0.987,0.987,0.7896,0,0.769203842
0.04,1,1,0.7,0.987,0.987,0.6909,0.012995766,0.987,0.987,0.6909,0,0.673053362
0.04,1,1,0.6,0.987,0.987,0.5922,0.001747265,0.987,0.987,0.5922,0,0.576902882
0.04,0.9,0.9,0.9,0.8883,0.8883,0.8883,0.012859439,0.8883,0.8883,0.8883,0,0.700937001
0.04,1,0.9,0.9,0.987,0.8883,0.8883,0.096945726,0.987,0.8883,0.8883,0,0.77881889
0.04,0.8,0.9,0.9,0.7896,0.8883,0.8883,0.001749185,0.7896,0.8883,0.8883,0,0.623055112
0.04,0.7,0.9,0.9,0.6909,0.8883,0.8883,1.94E-04,0.6909,0.8883,0.8883,0,0.545173223
0.04,0.6,0.9,0.9,0.5922,0.8883,0.8883,1.57E-05,0.5922,0.8883,0.8883,0,0.467291334
0.04,0.9,1,0.9,0.8883,0.987,0.8883,0.07332321,0.8883,0.987,0.8883,0,0.77881889
0.04,0.9,0.8,0.9,0.8883,0.7896,0.8883,0.002336951,0.8883,0.7896,0.8883,0,0.623055112
0.04,0.9,0.7,0.9,0.8883,0.6909,0.8883,3.70E-04,0.8883,0.6909,0.8883,0,0.545173223
0.04,0.9,0.6,0.9,0.8883,0.5922,0.8883,4.55E-05,0.8883,0.5922,0.8883,0,0.467291334
0.04,0.9,0.9,1,0.8883,0.8883,0.987,0.062960048,0.8883,0.8883,0.987,0,0.77881889
0.04,0.9,0.9,0.8,0.8883,0.8883,0.7896,0.002686143,0.8883,0.8883,0.7896,0,0.623055112
0.04,0.9,0.9,0.7,0.8883,0.8883,0.6909,4.85E-04,0.8883,0.8883,0.6909,0,0.545173223
0.04,0.9,0.9,0.6,0.8883,0.8883,0.5922,6.83E-05,0.8883,0.8883,0.5922,0,0.467291334
0.04,0.8,0.8,0.8,0.7896,0.7896,0.7896,7.50E-05,0.7896,0.7896,0.7896,0,0.492290459
0.04,1,0.8,0.8,0.987,0.7896,0.7896,0.002945828,0.987,0.7896,0.7896,0,0.615363074
0.04,0.9,0.8,0.8,0.8883,0.7896,0.7896,5.17E-04,0.8883,0.7896,0.7896,0,0.553826767
0.04,0.7,0.8,0.8,0.6909,0.7896,0.7896,8.53E-06,0.6909,0.7896,0.7896,0,0.430754152
0.04,0.6,0.8,0.8,0.5922,0.7896,0.7896,7.03E-07,0.5922,0.7896,0.7896,0,0.369217844
0.04,0.8,1,0.8,0.7896,0.987,0.7896,0.001710666,0.7896,0.987,0.7896,0,0.615363074
0.04,0.8,0.9,0.8,0.7896,0.8883,0.7896,3.83E-04,0.7896,0.8883,0.7896,0,0.553826767
0.04,0.8,0.7,0.8,0.7896,0.6909,0.7896,1.21E-05,0.7896,0.6909,0.7896,0,0.430754152
0.04,0.8,0.6,0.8,0.7896,0.5922,0.7896,1.50E-06,0.7896,0.5922,0.7896,0,0.369217844
0.04,0.8,0.8,1,0.7896,0.7896,0.987,0.001308577,0.7896,0.7896,0.987,0,0.615363074
0.04,0.8,0.8,0.9,0.7896,0.7896,0.8883,3.36E-04,0.7896,0.7896,0.8883,0,0.553826767
0.04,0.8,0.8,0.7,0.7896,0.7896,0.6909,1.38E-05,0.7896,0.7896,0.6909,0,0.430754152
0.04,0.8,0.8,0.6,0.7896,0.7896,0.5922,1.94E-06,0.7896,0.7896,0.5922,0,0.369217844
0.04,0.7,0.7,0.7,0.6909,0.6909,0.6909,2.55E-07,0.6909,0.6909,0.6909,0,0.329796147
0.04,1,0.7,0.7,0.987,0.6909,0.6909,8.55E-05,0.987,0.6909,0.6909,0,0.471137353
0.04,0.9,0.7,0.7,0.8883,0.6909,0.6909,1.52E-05,0.8883,0.6909,0.6909,0,0.424023618
0.04,0.8,0.7,0.7,0.7896,0.6909,0.6909,2.23E-06,0.7896,0.6909,0.6909,0,0.376909883
0.04,0.6,0.7,0.7,0.5922,0.6909,0.6909,2.11E-08,0.5922,0.6909,0.6909,0,0.282682412
0.04,0.7,1,0.7,0.6909,0.987,0.6909,3.41E-05,0.6909,0.987,0.6909,0,0.471137353
0.04,0.7,0.9,0.7,0.6909,0.8883,0.6909,7.85E-06,0.6909,0.8883,0.6909,0,0.424023618
0.04,0.7,0.8,0.7,0.6909,0.7896,0.6909,1.57E-06,0.6909,0.7896,0.6909,0,0.376909883
0.04,0.7,0.6,0.7,0.6909,0.5922,0.6909,3.16E-08,0.6909,0.5922,0.6909,0,0.282682412
0.04,0.7,0.7,1,0.6909,0.6909,0.987,2.36E-05,0.6909,0.6909,0.987,0,0.471137353
0.04,0.7,0.7,0.9,0.6909,0.6909,0.8883,6.20E-06,0.6909,0.6909,0.8883,0,0.424023618
0.04,0.7,0.7,0.8,0.6909,0.6909,0.7896,1.39E-06,0.6909,0.6909,0.7896,0,0.376909883
0.04,0.7,0.7,0.6,0.6909,0.6909,0.5922,3.60E-08,0.6909,0.6909,0.5922,0,0.282682412
0.04,0.6,0.6,0.6,0.5922,0.5922,0.5922,3.70E-10,0.5922,0.5922,0.5922,0,0.207685037
0.04,1,0.6,0.6,0.987,0.5922,0.5922,1.48E-06,0.987,0.5922,0.5922,0,0.346141729
0.04,0.9,0.6,0.6,0.8883,0.5922,0.5922,2.65E-07,0.8883,0.5922,0.5922,0,0.311527556
0.04,0.8,0.6,0.6,0.7896,0.5922,0.5922,3.89E-08,0.7896,0.5922,0.5922,0,0.276913383
