

Water depth (cm)
======
	02	03
2021/10/07	68	54
2021/10/08	68	54
2021/10/09	72	56
2021/10/10	74	58
2021/10/11	73	58
2021/10/12	73	58
2021/10/13	74	58
2021/10/14	74	58
2021/10/15	74	58
2021/10/16	74	58
2021/10/17	73	57
2021/10/18	73	57
2021/10/19	72	56
2021/10/20	72	56
2021/10/21	71	55
2021/10/22	70	55
2021/10/23	70	55
2021/10/24	70	54
2021/10/25	70	54
2021/10/26	70	54
2021/10/27	69	54
2021/10/28	69	54
2021/10/29	69	55
2021/10/30	69	54
2021/10/31	69	54
2021/11/01	68	54
2021/11/02	68	53
2021/11/03	67	53
2021/11/04	67	53
2021/11/05	72	58
2021/11/06	74	61
2021/11/07	73	60
2021/11/08	73	60
2021/11/09	73	60
2021/11/10	73	60
2021/11/11	73	60
2021/11/12	74	60
2021/11/13	74	60
2021/11/14	74	60
2021/11/15	73	59
2021/11/16	73	59
2021/11/17	73	58
2021/11/18	73	58
2021/11/19	73	58
2021/11/20	73	58
2021/11/21	74	58
2021/11/22	74	58
2021/11/23	74	58
2021/11/24	73	57
2021/11/25	72	56
2021/11/26	72	56
2021/11/27	72	56
2021/11/28	71	55
2021/11/29	71	54
2021/11/30	70	54
2021/12/01	70	54
2021/12/02	70	53
2021/12/03	69	53
2021/12/04	69	52
2021/12/05	69	52
2021/12/06	68	52
2021/12/07	68	51
2021/12/08	68	51
2021/12/09	67	50
2021/12/10	67	50
2021/12/11	67	50
2021/12/12	66	49
2021/12/13	66	49
2021/12/14	65	48
2021/12/15	65	48
2021/12/16	64	47
2021/12/17	64	47
2021/12/18	63	46
2021/12/19	63	46
2021/12/20	63	46
2021/12/21	63	45
2021/12/22	62	45
2021/12/23	61	44
2021/12/24	61	44
2021/12/25	61	43
2021/12/26	60	43
2021/12/27	60	43
2021/12/28	59	42
2021/12/29	59	42
2021/12/30	58	42
2021/12/31	58	41
2022/01/01	58	41
2022/01/02	57	41
2022/01/03	57	40
2022/01/04	56	40
2022/01/05	56	39
2022/01/06	55	39
2022/01/07	55	38
2022/01/08	55	38
2022/01/09	54	38
2022/01/10	54	38
2022/01/11	54	38
2022/01/12	54	37
2022/01/13	53	37
2022/01/14	53	36
2022/01/15	52	35
2022/01/16	53	36
2022/01/17	53	37
2022/01/18	53	37
2022/01/19	52	36
2022/01/20	52	36
2022/01/21	53	36
2022/01/22	53	36
2022/01/23	53	36
2022/01/24	52	35
2022/01/25	52	35
2022/01/26	51	35
2022/01/27	50	34
2022/01/28	49	34
2022/01/29	48	33
2022/01/30	48	33
2022/01/31	47	32
2022/02/01	47	32
2022/02/02	46	31
2022/02/03	46	31
2022/02/04	45	31
2022/02/05	45	30
2022/02/06	45	30
2022/02/07	44	29
2022/02/08	44	29
2022/02/09	44	29
2022/02/10	44	29
2022/02/11	44	29
2022/02/12	43	29
2022/02/13	48	34
2022/02/14	47	34
2022/02/15	46	33
2022/02/16	46	33
2022/02/17	45	32
2022/02/18	45	32
2022/02/19	45	31
2022/02/20	44	31
2022/02/21	44	30
2022/02/22	43	30
2022/02/23	43	29
2022/02/24	42	29
2022/02/25	42	28
2022/02/26	41	28
2022/02/27	41	27
2022/02/28	41	27
2022/03/01	40	26
2022/03/02	40	26
2022/03/03	39	25
2022/03/04	39	25
2022/03/05	38	24
2022/03/06	38	24
2022/03/07	37	23
2022/03/08	37	23
2022/03/09	36	22
2022/03/10	36	22
2022/03/11	35	21
2022/03/12	35	21
2022/03/13	34	20
2022/03/14	34	20
2022/03/15	33	20
2022/03/16	36	23
2022/03/17	37	24
2022/03/18	38	26
2022/03/19	38	25
2022/03/20	38	25
2022/03/21	43	33
2022/03/22	42	32
2022/03/23	41	31
2022/03/24	40	30
2022/03/25	40	29
2022/03/26	39	28
2022/03/27	38	27
2022/03/28	38	27
2022/03/29	37	26
2022/03/30	36	25
2022/03/31	36	25
2022/04/01	37	24
2022/04/02	37	23
2022/04/03	37	24
2022/04/04	37	24
2022/04/05	37	24
2022/04/06	36	23
2022/04/07	36	23
2022/04/08	35	22
2022/04/09	34	21
2022/04/10	33	20
2022/04/11	33	20
2022/04/12	32	19
2022/04/13	31	18
2022/04/14	31	18
2022/04/15	31	18
2022/04/16	31	18
2022/04/17	30	17
2022/04/18	30	16
2022/04/19	29	15
2022/04/20	28	14
2022/04/21	27	14
2022/04/22	27	13
2022/04/23	26	11
2022/04/24	25	10
2022/04/25	24	10
2022/04/26	23	8
2022/04/27	22	7
2022/04/28	22	7
2022/04/29	23	8
2022/04/30	23	8
2022/05/01	24	10
2022/05/02	23	10
2022/05/03	24	12
2022/05/04	24	13
2022/05/05	24	12
2022/05/06	24	13
2022/05/07	23	11
2022/05/08	22	10
2022/05/09	21	8
2022/05/10	20	7
2022/05/11	18	5
2022/05/12	17	4
2022/05/13	17	3
2022/05/14	16	2
2022/05/15	15	1
2022/05/16	15	0
2022/05/17	14	-2
2022/05/18	13	-3
2022/05/19	12	-5
2022/05/20	11	-6
2022/05/21	17	6
2022/05/22	15	4
2022/05/23	14	3
2022/05/24	13	1
2022/05/25	12	-1
2022/05/26	10	-2
2022/05/27	9	-4
2022/05/28	9	-4
2022/05/29	12	1
2022/05/30	19	12
2022/05/31	19	12
2022/06/01	19	12
2022/06/02	20	11
2022/06/03	24	15
2022/06/04	38	26
2022/06/05	39	28
2022/06/06	39	28
2022/06/07	38	28
2022/06/08	38	28
2022/06/09	38	28
2022/06/10	42	31
2022/06/11	49	41
2022/06/12	48	42
2022/06/13	48	41
2022/06/14	48	40
2022/06/15	47	40
2022/06/16	47	39
2022/06/17	47	39
2022/06/18	47	39
2022/06/19	50	42
2022/06/20	50	42
2022/06/21	51	43
2022/06/22	51	42
2022/06/23	51	42
2022/06/24	50	40
2022/06/25	49	39
2022/06/26	50	40
2022/06/27	52	41
2022/06/28	52	41
2022/06/29	51	40
2022/06/30	51	40
2022/07/01	52	42
2022/07/02	52	41
2022/07/03	52	40
2022/07/04	51	40
2022/07/05	51	39
2022/07/06	51	39
2022/07/07	53	39
2022/07/08	52	38
2022/07/09	52	38
2022/07/10	53	40
2022/07/11	53	40
2022/07/12	53	40
2022/07/13	55	43
2022/07/14	55	43
2022/07/15	55	43
2022/07/16	55	43
2022/07/17	55	43
2022/07/18	55	42
2022/07/19	55	42
2022/07/20	55	42
2022/07/21	55	41
2022/07/22	54	41
2022/07/23	54	41
2022/07/24	54	40
2022/07/25	53	40
2022/07/26	53	40
2022/07/27	55	41
2022/07/28	54	41
2022/07/29	54	41
2022/07/30	54	40
2022/07/31	53	40
2022/08/01	53	39
2022/08/02	52	39
2022/08/03	51	38
2022/08/04	51	38
2022/08/05	51	38
2022/08/06	51	38
2022/08/07	50	38
2022/08/08	50	38
2022/08/09	50	38
2022/08/10	50	38
2022/08/11	49	37
2022/08/12	49	37
2022/08/13	48	37
2022/08/14	49	38
2022/08/15	50	38
2022/08/16	51	39
2022/08/17	50	39
2022/08/18	49	38
2022/08/19	49	38
2022/08/20	48	38
2022/08/21	48	37
2022/08/22	47	37
2022/08/23	47	36
2022/08/24	47	37
2022/08/25	50	39
2022/08/26	50	39
2022/08/27	51	39
2022/08/28	51	40
2022/08/29	51	40
2022/08/30	51	40
2022/08/31	51	40
2022/09/01	50	40
2022/09/02	51	41
2022/09/03	50	41
2022/09/04	50	41
2022/09/05	50	40
2022/09/06	50	41
2022/09/07	50	41
2022/09/08	50	41
2022/09/09	52	43
2022/09/10	52	45
2022/09/11	52	46
2022/09/12	53	46
2022/09/13	53	47
2022/09/14	55	51
2022/09/15	56	51
2022/09/16	58	53
2022/09/17	58	53
2022/09/18	59	54
2022/09/19	59	54
2022/09/20	60	55
2022/09/21	62	57
2022/09/22	62	57
2022/09/23	62	57
2022/09/24	62	57
2022/09/25	62	57
2022/09/26	63	57
2022/09/27	71	65
2022/09/28	77	71
2022/09/29	76	70
2022/09/30	76	71
