

Water depth (cm)
======
	02	03
2021/01/01	103	86
2021/01/02	102	85
2021/01/03	101	84
2021/01/04	99	83
2021/01/05	98	82
2021/01/06	97	80
2021/01/07	96	80
2021/01/08	95	79
2021/01/09	94	77
2021/01/10	93	76
2021/01/11	92	76
2021/01/12	91	75
2021/01/13	91	74
2021/01/14	90	74
2021/01/15	89	73
2021/01/16	88	72
2021/01/17	87	71
2021/01/18	86	70
2021/01/19	85	69
2021/01/20	85	69
2021/01/21	84	68
2021/01/22	83	67
2021/01/23	82	66
2021/01/24	82	65
2021/01/25	81	65
2021/01/26	80	64
2021/01/27	80	63
2021/01/28	79	62
2021/01/29	78	61
2021/01/30	77	60
2021/01/31	77	60
2021/02/01	76	59
2021/02/02	75	58
2021/02/03	74	57
2021/02/04	73	56
2021/02/05	73	56
2021/02/06	72	55
2021/02/07	72	55
2021/02/08	72	54
2021/02/09	71	54
2021/02/10	70	53
2021/02/11	70	53
2021/02/12	69	52
2021/02/13	69	51
2021/02/14	68	51
2021/02/15	68	50
2021/02/16	67	50
2021/02/17	67	49
2021/02/18	66	49
2021/02/19	65	48
2021/02/20	64	47
2021/02/21	63	46
2021/02/22	63	46
2021/02/23	62	45
2021/02/24	61	44
2021/02/25	61	44
2021/02/26	60	43
2021/02/27	60	43
2021/02/28	59	42
2021/03/01	58	41
2021/03/02	58	41
2021/03/03	57	40
2021/03/04	56	39
2021/03/05	55	38
2021/03/06	55	38
2021/03/07	57	40
2021/03/08	56	39
2021/03/09	56	39
2021/03/10	55	39
2021/03/11	55	39
2021/03/12	55	38
2021/03/13	54	38
2021/03/14	54	37
2021/03/15	53	37
2021/03/16	52	36
2021/03/17	52	36
2021/03/18	51	35
2021/03/19	51	35
2021/03/20	50	34
2021/03/21	49	33
2021/03/22	49	32
2021/03/23	48	32
2021/03/24	48	32
2021/03/25	47	31
2021/03/26	47	30
2021/03/27	46	30
2021/03/28	45	29
2021/03/29	45	28
2021/03/30	44	28
2021/03/31	43	27
2021/04/01	43	27
2021/04/02	42	26
2021/04/03	41	25
2021/04/04	41	24
2021/04/05	40	23
2021/04/06	40	23
2021/04/07	39	22
2021/04/08	38	21
2021/04/09	38	21
2021/04/10	37	20
2021/04/11	37	20
2021/04/12	40	23
2021/04/13	40	23
2021/04/14	39	22
2021/04/15	39	22
2021/04/16	38	21
2021/04/17	37	20
2021/04/18	36	20
2021/04/19	36	19
2021/04/20	39	22
2021/04/21	39	22
2021/04/22	38	22
2021/04/23	38	21
2021/04/24	38	21
2021/04/25	37	20
2021/04/26	36	19
2021/04/27	35	18
2021/04/28	34	17
2021/04/29	34	16
2021/04/30	33	16
2021/05/01	32	15
2021/05/02	32	14
2021/05/03	31	12
2021/05/04	30	11
2021/05/05	29	10
2021/05/06	28	9
2021/05/07	27	8
2021/05/08	26	7
2021/05/09	26	7
2021/05/10	26	8
2021/05/11	25	6
2021/05/12	25	5
2021/05/13	24	5
2021/05/14	23	4
2021/05/15	22	3
2021/05/16	21	1
2021/05/17	20	0
2021/05/18	19	-1
2021/05/19	18	-2
2021/05/20	18	-3
2021/05/21	17	-5
2021/05/22	16	-6
2021/05/23	15	-7
2021/05/24	15	-8
2021/05/25	15	-11
2021/05/26	15	-12
2021/05/27	14	-13
2021/05/28	14	-15
2021/05/29	14	-16
2021/05/30	14	-17
2021/05/31	14	-10
2021/06/01	16	-6
2021/06/02	21	2
2021/06/03	20	2
2021/06/04	20	1
2021/06/05	19	0
2021/06/06	17	-2
2021/06/07	16	-3
2021/06/08	16	-6
2021/06/09	14	-8
2021/06/10	12	-10
2021/06/11	11	-11
2021/06/12	12	-11
2021/06/13	11	-11
2021/06/14	22	7
2021/06/15	23	8
2021/06/16	24	7
2021/06/17	25	9
2021/06/18	24	8
2021/06/19	24	7
2021/06/20	23	6
2021/06/21	25	9
2021/06/22	24	8
2021/06/23	24	7
2021/06/24	24	13
2021/06/25	25	14
2021/06/26	25	15
2021/06/27	25	14
2021/06/28	25	14
2021/06/29	24	13
2021/06/30	26	14
2021/07/01	25	14
2021/07/02	28	18
2021/07/03	29	18
2021/07/04	28	19
2021/07/05	29	21
2021/07/06	33	24
2021/07/07	33	25
2021/07/08	34	26
2021/07/09	36	27
2021/07/10	37	28
2021/07/11	37	28
2021/07/12	38	28
2021/07/13	38	28
2021/07/14	38	28
2021/07/15	38	28
2021/07/16	38	28
2021/07/17	38	28
2021/07/18	38	28
2021/07/19	38	27
2021/07/20	37	27
2021/07/21	37	27
2021/07/22	37	27
2021/07/23	39	29
2021/07/24	40	31
2021/07/25	41	31
2021/07/26	41	30
2021/07/27	43	32
2021/07/28	44	33
2021/07/29	44	34
2021/07/30	44	34
2021/07/31	44	33
2021/08/01	44	34
2021/08/02	44	34
2021/08/03	45	34
2021/08/04	46	35
2021/08/05	47	35
2021/08/06	47	36
2021/08/07	47	36
2021/08/08	48	36
2021/08/09	49	37
2021/08/10	49	38
2021/08/11	50	40
2021/08/12	50	40
2021/08/13	50	40
2021/08/14	51	42
2021/08/15	53	44
2021/08/16	54	44
2021/08/17	54	44
2021/08/18	54	44
2021/08/19	54	43
2021/08/20	54	43
2021/08/21	54	43
2021/08/22	54	43
2021/08/23	54	43
2021/08/24	54	42
2021/08/25	54	42
2021/08/26	54	42
2021/08/27	54	42
2021/08/28	54	42
2021/08/29	53	41
2021/08/30	54	42
2021/08/31	55	44
2021/09/01	55	43
2021/09/02	55	44
2021/09/03	56	44
2021/09/04	56	44
2021/09/05	56	44
2021/09/06	56	44
2021/09/07	56	44
2021/09/08	56	44
2021/09/09	56	44
2021/09/10	56	44
2021/09/11	56	44
2021/09/12	56	44
2021/09/13	57	45
2021/09/14	58	46
2021/09/15	59	46
2021/09/16	59	46
2021/09/17	61	46
2021/09/18	65	51
2021/09/19	65	50
2021/09/20	65	51
2021/09/21	65	51
2021/09/22	66	51
2021/09/23	66	52
2021/09/24	68	54
2021/09/25	68	54
2021/09/26	71	55
2021/09/27	71	55
2021/09/28	71	55
2021/09/29	70	55
2021/09/30	69	55
2021/10/01	69	55
2021/10/02	69	55
2021/10/03	69	55
2021/10/04	69	55
2021/10/05	69	55
2021/10/06	69	54
